comment,valence
校方不是采取法律行动了吗？再等等看吧。,positive
建议国内高等学校学习一下美国的做法,positive
川普真棒,positive
好好好,positive
闭关锁国川普是在行的,positive
我觉得很正常吧，天下大事分久必合 合久必分，提升自身，内在有激情，还要从容不迫！,positive
这件事情真的只有这件事情吗？,positive
私立的无所谓吧,positive
遥遥领先,positive
也就博弈一段时间吧，声势搞大一点，后面谈着谈着估计就和好了,positive
可以这么玩，先开除所有同学哈佛校籍，等拨款到账后，又给同学们偷摸发毕业证书,positive
我的朋友都没有😂,positive
大家可以关注5.29的听证会～ 至少暂时学校是正常运行滴 因为拿到了 TRO 目前 所以暂时我们不受影响～,positive
上网课可以么,positive
因为特朗普接到举报，哈佛学生有的在补习加减乘除,positive
回国就业环境也很不好。还是留在美国就业好一些,positive
凡事都有两面性。,positive
学费退吗？,positive
全部来中国哈弗也来中国办学,positive
回中国，来清北浙复等名校,positive
很多人是钱💰 砸进去 进的哈佛 事出必有因,positive
金毛针对的是民主党的摇篮，他们就只是被波及了，那没办法，自由美利坚，金毛赢一天。,positive
棒棒的天欲其亡，必令其狂,positive
各国的留学生们想回来香港/内地，可协助,positive
你们这么爱国回来吧！我们的清华北大也是世界顶级名校。,positive
鹰酱也意识到了兔子在摸着它过河~,positive
学费退吗,positive
不坑穷人,positive
挺好的,positive
我也算是见证历史了,positive
不要觉得川普癫，他每走的一步棋都釜底抽薪的狠招！普通人做不到他这么针针见血,positive
不用担心，父母有能力,positive
特朗普这么做一定有他的原因,positive
其他学校会效仿不,positive
给美国输送人才跟GDP都不要,positive
太好了,positive
哈，川普这是挖美国的根啊,positive
先移民美国读高中，然后再考试,positive
我早就知道会出现这种情况，所以我就没去哈佛,positive
我因为毕业院校填了北京科技大学，被拒签了,positive
都回来吧！,positive
校方能这么钢，已经非常好了,positive
这不是很好吗，美国那么坏，坚决不去美国留学,positive
反正我是很开心的，看见这些权贵花了几百万，还拿不到哈弗学历，我很开心,positive
驱逐就上网课到毕业,positive
挺好的，人才都回来吧，国家自己用,positive
这个与我无关，能出国留学的家底不简单，轮不到我去心疼,positive
哈弗大学开分校吧，在中国欢迎开分校,positive
时代在变化要有人才走遍天下，世界才有和平的伟大。,positive
回国清华北大直接招收就完了,positive
阿弥陀佛,negative
保命，什么都是假的,negative
很好笑，这样做感觉没有任何好处，特别荒谬[呃R],negative
采访了那么多拿出了三个被吓尿的,negative
留学向来是和平时候才有的事,negative
退学费,negative
魔幻的国家，魔幻的总统，倒霉的是外籍普通民众，他送儿子上NYU，是不是怕儿子去藤校会被国际生群殴,negative
为什么只有哈佛？没有其他藤校？,negative
说白了不想当灯塔了，中国的老公知们也该转向了。,negative
很多都是留美国不回来了 视频里这个女学生一开始就说打算留美国，后来感觉在采访这么说不好，才委婉说打算留美工作一段时间再回国。,negative
炮灰真的多,negative
？？？,negative
感觉像是霍格沃兹强行被魔法部接管了,negative
人才都不要,negative
川普越来越像卧底,negative
真服了。,negative
真的挺荒谬的，其实站在留学生的角度应该很挫败吧，能到哈佛上学的留子应该都是很优秀且骄傲的走来，结果竟然作为两方博弈的牺牲品，且得不到任何的实质保护，也算是上天给他们的一道课题了,negative
整个一个不靠谱你可以不再招收，居然招收过的还要退学，一点可信度都没有，把脸在都丢了地上,negative
什么意思？针对所有的国际生吗？,negative
某种程度上，特朗普政府的这一做法是不自信的表现。敞开怀抱，接受各国优秀学子是美国未来发展的基石。显然特郎普政府有点病急乱投医。,negative
有种挥刀自宫的感觉……我们以前可都是被教育，美国的强大得益于包容的移民政策，吸收了二战后很多其他国家的科学家，比如爱因斯坦……驱逐顶尖高校的全部国际学生？想不出来哪个发达国家会有这样的政策,negative
住酒店反偷拍，三只眼顺风耳无处不在，尤其酒店、出租房、会议室、办公室、汽车内等地点，安全处处受到威胁，隐私得不到保障，选择专业全套的360度检测设备，让各种“复杂”设备现出原形，还你安全舒心的工作、生活、旅游环境。提醒大家以防受害呼吁大家提供防范意识。,negative
火中取栗,negative
美国的信誉越来越低了,negative
我也很痛恨像这个女学生本来挺想毕业后留在美国 (打算留美工作一段时间再回国只是说辞)，现在没得选择了就开始动摇了。像她这种人可千万要坚持住留美初衷，千万不要回来啊！,negative
为啥啊？国际生招惹他了吗？没懂为啥要禁止招国际生,negative
哈佛如果没有世界各国的学生，还能叫哈佛吗？哈佛大学该改名了....,negative
你是中国学生，你的根在中国,negative
这是个笑话，特是个笑话！,negative
真离谱,negative
你们本来就不应该留在美国！祖国培养你们，你们去为美国做贡献！,negative
为什么都要去美国哈弗去留学 ？自找的....,negative
你是国际学生，怎么说汉语,negative
留学生转回国发展 找工作都是难上加难,negative
这事发生在自己身上真的崩溃。,negative
幸亏没上哈佛,negative
深刻感受到科学有国界了吧！记住此刻的感受！愿安全归来！,negative
哈弗多好啊，美国多棒吧，加油哦少年,negative
千万别回来呀，润出去就有点骨气。,negative
特朗普破坏4+4原则,negative
希望国内不要给这个女生一丁点支持这发言明显不会回国，跟国内发展没半毛钱关系,negative
在读的能拿到毕业证吗，拿不到读个毛线啊，花钱当怨种吗,negative
太可笑了,negative
特朗普就是个笑话,negative
只想说一句：这老东西,negative
川普真的很奇葩！,negative
打官司索赔,negative
哈佛拿什么实际行动来保护，又不是武装军队,negative
今年我本来申了 psu ，也是这个老头，直接砍掉，据说没有一个华人,negative
说不定哪天，美国所有的学校都会驱逐外国学生,negative
老美这是要闭关锁国么,negative
你说特朗普这家伙是不老糊涂了……整体搞事,negative
整天都搞事情搞事情。,negative
看来只能换国籍学习了,negative
真有格局……,negative
要么直接美国国籍，要么回国,negative
人家好不容易考上了让人家退学啊,negative
那不都全白學了？？,negative
另一种绑架人质,negative
人家好不容易考上了让人家退学啊,negative
感觉第二个好崩溃,negative
刚入的哈佛刚入的哈佛刚入的哈佛被退了,negative
阻止人类高知文化文明进步？,negative
小人行为。君子坦荡荡，小人长戚戚。,negative
特朗普发疯again~,negative
哇塞，特lp的套路还真是……水能载舟亦能覆舟，懂的都懂,negative
